knows         +1 PT         
l'espresso    +1 PT - ZERO  
language      +1 PT - ZERO  
languages     +1 YT         
last          +1 PT         
law           +1 PT         
left          +1 YT         
less          +1 PT - ZERO  
let           +6 YT         
let's         +1 YT         
list          +3 YT         
literally     +1 PT         
little        +1 PT         
local         +4 YT         
locally       +1 YT         
logo          +1 PT - ZERO  
logothetis    +1 PT - ZERO  
long          +1 PT         
look          +1 YT         
loops         +1 YT - ZERO  
lopoli        +1 YT - ZERO  
lost          +1 PT - ZERO  
lowest        +1 PT         
lupoli        +1 YT - ZERO  
ma'am         +1 YT - ZERO  
machine       +1 PT - ZERO  
machã©        +1 PT - ZERO  
made          +1 PT         
main          +25 YT        
maine         +1 YT         
malfunction   +1 PT - ZERO  
man           +13 PT        
mansion       +1 PT - ZERO  
many          +3 PT         
mark          +1 PT - ZERO  
marker        +1 YT         
matinenga     +1 PT - ZERO  
matter        +1 PT - ZERO  
max           +1 PT         
maxim         +1 YT - ZERO  
may           +2 PT         
me            +1 YT         
mean          +5 PT         
meaning       +1 YT         
means         +1 YT         
media         +1 PT - ZERO  
mel           +1 PT - ZERO  
men           +1 YT         
mental        +1 YT - ZERO  
menu          +1 YT         
met           +1 PT - ZERO  
microscope    +1 YT - ZERO  
min           +1 YT - ZERO  
minus         +1 PT - ZERO  
moment        +1 PT         
more          +1 PT         
most          +3 YT         
move          +1 PT         
moving        +4 YT - ZERO  
music         +3 YT - ZERO  
must          +1 PT - ZERO  
named         +1 PT         
national      +1 PT - ZERO  
nbc           +1 PT - ZERO  
need          +2 YT         
negative      +1 PT - ZERO  
never         +1 PT         
nine          +2 PT - ZERO  
no            +1 PT         
notes         +1 YT         
nother        +1 PT - ZERO  
nothing       +2 YT         
notice        +3 YT         
noticeably    +1 YT - ZERO  
number        +1 YT         
numerical     +1 YT - ZERO  
nurses        +1 PT - ZERO  
obscene       +1 YT         
off           +2 YT         
offer         +1 YT - ZERO  
oh            +1 YT         
ok            +24 PT - ZERO 
okay          +31 YT - ZERO 
olufsen       +1 PT - ZERO  
on            +2 PT         
once          +1 PT         
one           +1 PT         
one's         +1 YT - ZERO  
opening       +1 PT - ZERO  
options       +1 YT         
or            +5 PT         
order         +2 YT         
originally    +1 YT         
our           +1 PT         
out           +2 YT         
output        +1 PT - ZERO  
outputs       +1 YT         
over          +7 YT         
own           +1 YT         
panopto       +1 PT - ZERO  
parentheses   +2 PT         
parenthesis   +2 YT - ZERO  
particular    +1 PT         
pass          +2 YT         
passed        +1 PT - ZERO  
paste         +1 PT         
pastes        +1 YT - ZERO  
pay           +2 PT - ZERO  
peering       +1 YT - ZERO  
pieces        +1 YT         
play          +1 PT - ZERO  
plunket       +1 PT - ZERO  
plus          +1 YT - ZERO  
poco          +1 YT - ZERO  
polling       +2 PT - ZERO  
poly          +1 YT - ZERO  
predicate     +1 YT - ZERO  
pretty        +1 YT - ZERO  
prince        +4 PT         
princesse     +1 PT - ZERO  
print         +3 YT         
print's       +1 PT - ZERO  
printed       +1 PT - ZERO  
prints        +4 YT - ZERO  
probably      +2 YT         
problems      +1 YT         
program       +1 YT         
programing    +8 PT - ZERO  
programming   +8 YT - ZERO  
pronounced    +1 PT - ZERO  
proof         +1 YT - ZERO  
prove         +1 PT - ZERO  
pulling       +1 PT - ZERO  
put           +2 YT         
py            +1 YT - ZERO  
quality       +1 PT - ZERO  
question      +1 YT         
re-look       +1 YT - ZERO  
read          +1 PT         
really        +2 PT         
reasonable    +1 PT - ZERO  
redraw        +1 YT - ZERO  
referred      +1 PT - ZERO  
